name,type,detailed_type,categ_id
"ETIQUETA VERDE LIMA 6""X3"" EN ESTIRENO CAL.40 1-2 TINTAS",Producto almacenable,Producto almacenable,Todos
"ETIQUETA VERDE LIMA 6""X3"" EN ESTIRENO CAL.40 1-2 TINTAS",Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA VINIL ADHESIVO 2 X 2CMS / # CONSECUTIVO,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA VINIL ADHESIVO 2 X 6CMS,Consumible,Consumible,Retornable
ETIQUETA VINIL ADHESIVO 3 X 2CMS / # CONSECUTIVO,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WAREHOUSE 3-9,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WINDOW PLATE CX430,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WL CCP FRONT,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WL CCP REAR,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WS CENTRAL,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WS DRIVER,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETA WS PASSENGER,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETAS COSTURA FORM,Consumible,Consumible,Retornable / Consumibles (Retornable)
ETIQUETAS DE 6 X 2 CMS - WINDOW PLATE HIGH,Consumible,Consumible,Retornable
ETIQUETAS DE 6 X 2 CMS - WINDOW PLATE MID_LOW,Consumible,Consumible,Retornable
ETIQUETAS TOTES,Consumible,Consumible,Cartón / Consumibles (Cartón)
EVOLON 240G,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON BLUE 100GR,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"EVOLON GRAY 100 GREY  22.5"" ( 1094LY * ROLLO )",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
"EVOLON GRAY 100 GREY  37"" ( 1094LY * ROLLO )",Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 100 GREY 1524MM/1000M,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 100 GREY 1830MM/1500M,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 100 GREY 673.1MM/1000M,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 100 GREY 981MM/1000M,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 100GR,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
EVOLON GRAY 80 GREY   ( 1094LY * ROLLO ),Producto almacenable,Producto almacenable,Cartón / Materia Prima (Cartón)
EVOLON GRAY 80GR,Producto almacenable,Producto almacenable,Retornable / Materia Prima (Retornable)
