name,categ_id,type,detailed_type
INSERTO PARA ROLLOS DE VINIL CERVECE,14,product,product
CAJA RSC 2415-11 BACK UP,14,product,product
SBW SUBETINA STICKER,28,product,product
ICP DUNNAGE TELA NO TEJIDA,28,product,product
ICP DUNNAGE 2MM DUBETINA STICKER + TAPA TRANSFLEX,28,product,product
CAJA HSC CARGO BOX (DIVIDER) Q1,20,product,product
CAJA HSC CARGO BOX (DIVIDER) Q2,20,product,product
TAPA CARGO BOX (DIVIDER),14,product,product
KIT OUTER ETAPA VFF VW316,23,product,product
CAJA RSC OUTER ETAPA VFF VW316,14,product,product
CELDA OUTER ETAPA VFF VW316,14,product,product
CELDA A OUTER ETAPA VFF VW316,20,product,product
CELDA B OUTER ETAPA VFF VW316,20,product,product
CELDA C OUTER ETAPA VFF VW316,20,product,product
KIT INNER ETAPA VFF VW316,23,product,product
CAJA RSC INNER ETAPA VFF VW316,14,product,product
CELDA INNER ETAPA VFF VW316,14,product,product
CELDA A INNER VFF VW316,20,product,product
CELDA B INNER VFF VW316,20,product,product
CELDA C INNER VFF VW316,20,product,product
KIT COVER SIDE VFF VW316,23,product,product
CAJA RSC COVER SIDE VFF VW316,14,product,product
CELDA COVER SIDE VFF VW316,14,product,product
CELDA A COVER SIDE VFF VW316,20,product,product
CELDA B COVER SIDE VFF VW316,20,product,product
PAD COVER SIDE VFF VW316,14,product,product
"CORNER BOARD 22.5""",32,product,product
"CORNER BOARD 33""",14,product,product
"CAJA INDUSTRIAL 16"" ROTATIVA",24,product,product
LAMINA PARA LENTE ROJO,20,product,product
CAJA DE CARTÓN BACK UP CANASTILLA GRIS- P3,14,product,product
CAJA PARA CABLE SET,20,product,product
TAPA TARIMA 42*48,20,product,product
BASE TARIMA 42*48,20,product,product
TACON ESPIRAL ALTO,20,product,product
TAPA ROTOR,28,product,product
Esquinero Kraft 2.75” x 2.75” x 57cm Cal .225,32,product,product
CD211321,14,product,product
ESQUINERO CARGO BOX (DIVIDER),14,product,product
REMACHE NO. 37,17,consu,consu
PORTA ETIQUETA 180 X 60,25,consu,consu
ETIQUETA VINIL ADHESIVO 2 X 6CMS,17,consu,consu
NAVAJA REPUESTO RX-110  C/5,19,consu,consu
DESHEBRADOR PLASTICO - 480PCTC800-Y,17,consu,consu
CINTA MET PROF DFV 19MM CM/PLG79202,17,consu,consu
755AY / 757AY / 769AY CAJA,14,product,product
A24 BLACK CORRUGATED PLASTIC TOTE,28,product,product
"BLISTER TAPA A-24 PET CAL 0.025""",17,product,product
IP SKIN VAC FORM,18,service,service
CHAROLA A24,20,product,product
CELDAS Y PORTA-FICHA A24,30,product,product
CELDA A - A24,20,product,product
CELDA B - A24,20,product,product
CELDA C - A24,20,product,product
PORTA-FICHAS - A24,20,product,product
CANALETA 460mm - A24,20,product,product
CANALETA 56mm - A24,20,product,product
DISCO CORTE 4 1/2  ACERO INOXIDABLE,17,consu,consu
DISCO LAMINADO 4 1/2 TENAZIT,25,consu,consu
"PIJA PUNTA DE BROCA 8 X 1/2"" ZINC",17,consu,consu
KOLA LOKA 3.5GMS. GOTERITO,19,consu,consu
PAPEL HIGIENICO JUMBO C/12,19,consu,consu
DETERGENTE LIQUIDO LAVALOZA 4LTS,19,consu,consu
CLORO 4LTS,19,consu,consu
SARRICIDA 4LTS,19,consu,consu
FABULOSO 4LTS,19,consu,consu
PLASTIGANCHO WIESE 60GMS,19,consu,consu
PLEDGE,19,consu,consu
VASO CONICO C/250 PZAS,19,consu,consu
GLADE 400ML,19,consu,consu
SHAMPOO P/MANOS 4LTS.,19,consu,consu
TOALLA INT. FAPSA BLANCA C/2000,19,consu,consu
TRAPEADO ALGODON 1KG,19,consu,consu
BOLSA 70 X 90CMS NEGRA,19,consu,consu
FUNDA P/MOP 90CMS,19,consu,consu
TELA MAGITEL  C/ 5,19,consu,consu
ETIQUETAS DE 6 X 2 CMS - WINDOW PLATE HIGH,17,consu,consu
ETIQUETAS DE 6 X 2 CMS - WINDOW PLATE MID_LOW,17,consu,consu
ETIQUETA NUMEROS - WINDOW PLATE,17,consu,consu
CASE 500B,28,product,product
CHAROLA CASE,30,product,product
PARED CASE,30,product,product
CHAROLA SUB,30,product,product
CASE CELDA A,30,product,product
CASE CELDA B,30,product,product
CASE CELDA C,30,product,product
CASE TAPA PANEL A,20,product,product
CASE TAPA PANEL B,20,product,product
CASE TAPA ARMADA,30,product,product
CASE CELDA ARMADA,30,product,product
CASE PISO,30,product,product
CASE CHAROLA SUB ARMADA,30,product,product
SUPERLONA,17,product,product
"SOLERA 3/8 X 2"" X 6.10MTS",27,product,product
CONO PLASTICO CORRUGADO AZUL,28,product,product
"PUNTAS PHILLIPS #2, LARGO 2"" C/5",25,consu,consu
BISAGRA TUBULAR 3/4,25,consu,consu
PRODUCTOS DE OFICINA PAPELERIA,18,service,service
ACEITE DE PINO 4LTS,19,consu,consu
GUANTE DE LATEX DESECHABLE C/100,19,consu,consu
BOLSA 90 X 120 CMS,19,consu,consu
CUBREBOCAS C/ 150 PZAS,19,consu,consu
COFIA DESECHABLE C/ 100 PZAS,19,consu,consu
SERVILLETA TRAD. C/ 500 PZAS,19,consu,consu
TOALLA ROLLO FAPSA BCA C/ 6 ROLLOS,19,consu,consu
GUA-VELC010,25,service,service
"ARANDELA PLANA DE 4.8MM 3/16"" ZINC",25,product,product
WINDOW PLATE 500B,28,product,product
CUERPO CHAROLA,14,product,product
CUERPO CHAROLA WINDOW PLATE,30,product,product
PARED CHAROLA WINDOW PLATE,30,product,product
CELDA A WINDOW PLATE,30,product,product
CELDA B WINDOW PLATE,30,product,product
TAPA PANEL A WINDOW PLATE,20,product,product
TAPA PANEL B WINDOW PLATE,20,product,product
CHAROLA WINDOW PLATE,30,product,product
CELDA ARMADA WINDOW PLATE,30,product,product
PISO WINDOW PLATE,30,product,product
CHAROLA ARMADA,30,product,product
TAPA,20,product,product
TAPA ARMADA,30,product,product
TAPA ARMADA WINDOW PLATE,30,product,product
CHAROLA ARMADA WINDOW PLATE,30,product,product
SUAJES,18,service,service
MEDICAMENTOS Y CURACION,18,service,service
REPUESTO P/NAVAJA CUT6/6X TRUPER,19,consu,consu
AFLOJATODO AEROSOL WD 40 11OZ 310GR,19,consu,consu
"BROCA THUNDERBOLT TITANIUM 3/8"" MILWAUKEE 48-89-2221",19,consu,consu
REFACCIONES PAILERA,17,consu,consu
REFACCIONES ROTATIVA,19,consu,consu
CONSUMIBLES CABINA DE PINTURA,25,consu,consu
"REGLA XLPE 4# ESPESOR 1"" (45CM X 1CM)",27,product,product
ALTERNO INNER 6 CAVIDADES CX727,14,product,product
EMPAQUE TIPO CELDADO CON INSERTOS DE 6 CAVIDADES,14,product,product
CONSUMIBLES SEGURIDAD E HIGIENE,18,consu,consu
BOLSA 500G CAFE ORGANICO DE CHIAPAS,18,consu,consu
AZUCAR,18,consu,consu
CONSUMIBLES MAQUINA ROTATIVA,19,consu,consu
"TOTE 24"" x 15"" x 9"" FONDO REFORZADO",27,product,product
CAJA RSC COVER SIDE VFF VW316 (copia),14,product,product
HERRAMENTAL CAJA SOLAR,18,service,service
PRISMA CUERPO CAJA,20,product,product
PRISMA PARED DE CAJA,20,product,product
PRISMA PISO,20,product,product
PRISMA CAJA ENSAMBLE,20,product,product
PRISMA CELDA A,14,product,product
PRISMA CELDA B,14,product,product
PRISMA CELDA C,14,product,product
PRISMA CELDA D,14,product,product
PRISMA CELDA ENSAMBLADA,20,product,product
PRISMA TAPA PANEL A,14,product,product
PRISMA TAPA PANEL B,14,product,product
PRISMA TAPA ENSAMBLE,20,product,product
PRISMA ENSAMBLE,28,product,product
PRISMA SUAJE 1,18,service,service
PRISMA SUAJE 2,18,service,service
PRISMA PARA SUAJE 3,18,service,service
XLPE 2# NGO/ADHESIVO 8302 - 535MM x 49MM x 25.4MM,27,product,product
TOOLING,25,consu,consu
COROPLAST 4.0 MM 1.40 X 2.44MTS NEGRO CONDUCTIVO,27,product,product
Esquinero Kraft 2.75” x 2.75” x 7.5cm Cal .200,15,product,product
TARJETAS DE PRESENTACION,18,service,service
Herramental Nextracker Mejora de Diseño,18,service,service
REJILLA SASM-CELDA A,20,product,product
REJILLA SASM-CELDA B,20,product,product
REJILLA SASM-CELDA C,20,product,product
PETG MX 0.5 MM 122 X 244,27,product,product
CAJA PARA CAJA 5,14,product,product
TOOLING TESLA EXPORT,18,service,service
FOTOPOLIMERO 0.25 (GRABADO),18,consu,consu
"TUBO ACERO 1"" CAL.18",27,product,product
ESCOBA PEÑOLERA DE ESPIGA,19,consu,consu
ARMAZON P/ MOP DE 90 CMS,19,consu,consu
TELA CELTEX C/ 20 PZAS,19,consu,consu
CUBETA DE PLASTICO 20 LTS,19,consu,consu
GUANTE DE LATEX P/LIMPIEZA,19,consu,consu
EVOLON 240G,27,product,product
FLETE,18,service,service
ETIQUETAS COSTURA FORM,25,consu,consu
TORNILLO ALLEN CABEZA PLANA M.M. 10 x 40,19,consu,consu
KIT SOLARES,14,product,product
CHAROLA SOLARES,20,product,product
CHAROLA SOLARES (copia),20,product,product
TAPA SOLARES (copia),20,product,product
CELDA SOLARES (copia),20,product,product
"FRENO DE PISO 4""",27,product,product
"RODAJA GIRATORIA 3 1/2"" X 1 1/4""",27,product,product
PLASTILONA ANTI STAT  (ESD),27,product,product
"CHAROLA DE PLASTICO CORRUGADO VERDE 4 MM, CELDA 5 CAVIDADES + BASE DE CAJA CON DOBLE PISO PARA FACILITAR LA LIMPIEZA DE CAJA + TAPA DE PLASTICO",28,product,product
X247 NOZZLE DUNNAGE,28,product,product
X247 GLOVE BOX COVER OUTER DUNNAGE,28,product,product
X247 IP LOWER DUNNAGE,28,product,product
TEMPORARY EXPENDABLE PACKAGING,18,service,service
ESMALTE COMEX 100 TOTAL GALON,25,consu,consu
PTR 1 1/2 CAL. 12,27,product,product
"PTR 2"" CAL. 12",27,product,product
"SOLERA 1 1/2""  GROSOR 1/8""",27,product,product
"SOLERA 1 1/2""  GROSOR 5/16""",27,product,product
RIEL 1400 CAL. 18,27,product,product
